age,citi,day1,day10,day11,day12,day13,day14,day2,day3,day4,day5,day6,day7,day8,day9,duration,maxgroupsize,name,operatedin,physicalrating,price,rating,tourid,touroperator,url
,"Kathmandu,Lukla,Phakding,Namche Bazar,Dingboche,Lobuche,Everest Base Camp,Gorak Shep,Pheriche",Day 01 : Arrive at Tribhuwan International Airport (TIA) Kathmandu,Day 10 : Hiking to Kalapattar (5545m/18188ft) - Gorekshep - Pheriche (4210m/13809ft) Duration : 7 hours,Day 11 : Trek to Namche (3440m/11283ft) Duration: 7 hours,Day 12 : Trek to Lukla (2800m/9184ft) Duration: 7 hours,Day 13 : Fly back to Kathmandu,Day 14 : Farewell,Day 02 : Fly to Lukla and trek to Phakding (2652m/8699ft) Duration: 3 hours,Day 03 : Trek to Namche Bazaar (3440m/11283ft) Duration: 6 hours,Day 04 : Namche Bazar and Everest View Hotel,Day 05 : Trek to Tengboche (3860m/12660ft) Duration: 5 hours,Day 06 : Trek to Dingboche (4410m/14464ft) Duration: 5 hours,Day 07 : Dingboche to Nagerjun (5100m/16728ft) and return Duration: 6 hours,Day 08 : Trek to Lobuche (4910m/16105ft) Duration: 5 hours,Day 09 : Trek to EBC (5364m/17594ft) & back to Gorekshep (5181m/16994ft) Duration: 8 hours,,,"
            Everest Base Camp Short Trek        ",,,"US
                        $1,245","
      4.9
    (
      (39)
    ",,,https://www.tourradar.com/115685
,"Pokhara,Annapurna,,,,,,,",Day 1: Pokhara/Kalikasthan - Yangjakot trek (1440m),,,,,,Day 2: Yangjakot - Tanting trek (1580m),Day 3: Tanting - Siklis trek (1980m),Day 4: Siklis to Ghale Gaun trek (1620m),Day 5: Ghale Gaun to Bhurjung Khola trek/Pokhara,,,,,,,"
            Annapurna Homestay Trek        ",,,"US
                        $410","
      4.4
    (
      (7)
    ",,,https://www.tourradar.com/115685
"
                    English, German
                ","Kathmandu,Lukla,Phakding,Namche Bazar,Gorak Shep,Everest Base Camp,,,",Day 1: Kathmandu to Lukla Scenic Flight and short trek to Phakding 2810m)- 4 hrs walk approx,,,,,,"Day 2: Trek to Namche Bazaar 3,450 m /11,315 ft,  6 hrs walk approx","Day 3: Trek to Pangboche 3090 m/14,677 ft, 6 hrs walk approx.","Day 4: Trek to Thukla 4620 m / Labuche (4910m), 6 hour walk approx.","Day 5: Trek to Everest base camp 5170 m/16,961 ft and 5364 m/17,594 ft, 5 hours approx.","Day 6: Hike – Kalapathar(5545m) - Gorakshep - Periche (4,250), 6hrs walk approx","Day 7: Trek to Namche 3,450/11,315 ft, 6 hrs walk approx.","Day 8: Trek to Lukla 2,850m/9,350ft, 6 hrs approx.",Day 9: Fly back from Lukla to Kathmandu 35minutes.,,"
                        12                    ","
            Short Everest Base Camp Trek        ","
                    150065
                ","
                        8 to 82
                    ","US
                        $989","
      5.0
    (
      (12)
    ",,"
                    Alpine Ramble Treks 
                ",https://www.tourradar.com/115685
,"Kathmandu,Namche Bazar,Phakding,Lukla,Everest Base Camp,,,,","Day 1: Kathmandu, Arrival in Kathmandu 1,350m",,,,,,"Day 2:Kathmandu to Lukla flight, trek to Phakding 2,800m","Day 3:Phakding to Namche Bazaar 3,440m",Day 4:Namche Bazaar - day hike Khunde/Khumjung/Everest,"Day 5:Namche to Phakding and Lukla 2,800m",Day 6:Lukla to Kathmandu 1350m,"Day 7:Kathmandu: departure day 1,350m",,,,,"
            Everest Panorama Trek        ",,,"US
                        $900","
      4.4
    (
      (14)
    ",,,https://www.tourradar.com/115685
,",,,,,,,,",Day 01 : Arrival in Kathmandu,,,,,,Day 02 : Kathmandu Valley Sightseeing ,Day 03 Drive to Panauti and Hike to Dhulikhel via Namobuddha,Day 04 Trek to Nagarkot.,Day 05 Observe Sunrise view and hike down to Changu Narayan.,Day 06 Free time in the morning for Souvenier shopping and end of Tour and Departure to your next destination,,,,,,"
            Hike Kathmandu Rim with Heritage Tour - Experience lifestyle, Nature and Culture        ",,,"US
                        $850","
      5.0
    (
      (7)
    ",,,https://www.tourradar.com/115685
,"Kathmandu,Phakding,Namche Bazar,Dingboche,Lobuche,Everest Base Camp,Pheriche,Lukla,","Day 1: Kathmandu – Lukla (2,642m/8,668ft) – Phakding (2,562m /8,700ft)","Day 10: Namche Bazaar – Lukla (2,642m/8,668ft)","Day 11: Lukla – Kathmandu (1,300m/4,264ft), 35 min flight",,,,"Day 2: Phakding - Namche Bazaar (3,440m/11,280ft)","Day 3: Namche Bazaar – Tengboche (3,870m/12,694ft)","Day 4: Tengboche – Dingboche (4,360m/14,300ft)",Day 5: Dingboche: Acclimatization and exploration day,"Day 6: Dingboche – Lobuche (4,940m/16,207ft)","Day 7: Lobuche – Gorak Shep (5,160m/17,000ft) ) – Everest Base Camp (5,364m/17,594ft), Gorak Shep ~15 km","Day 8: Gorak Shep – Kala Patthar (5,545m/18,192ft) – Pheriche (4,280m/14,070ft)","Day 9: Pheriche – Namche Bazaar (3,440m /11,280ft)",,,"
            11 Days short Everest base camp trek        ",,,"US
                        $1,150","
      4.8
    (
      (13)
    ",,,https://www.tourradar.com/115685
"
                    English
                ","Kathmandu,Pokhara,Annapurna,,,,,,",Day 1: Kathmandu – Pokhara 850 m /2788 ft- 7 hrs drive by tourist bus,,,,,,Day 2: Pokhara –Nayapul 1 hrs drive by taxi and Trek to Ghandruk 1910m/3810ft- 4 hrs walk approximately.,Day 3: Trek Ghandruk to Chhomrong (2170m) - 5/6 hrs walk approximate,Day 4: Trek from Chhomrong to Himalayan Hotel (2920m) - 6/7 hrs walk approximate,"Day 5: Trek from Himalayan to Annapurna Base Camp (4130m) via Machhapuchchhre Base Camp (3720m) 5/6 hrs walk approximate, overnight at lodge.","Day 6: Trek from ABC to Bamboo (2,340 m) 6/7 hrs walk approximate, overnight at lodge.","Day 7: Trek from Bamboo to Jhinu Danda (Hot Spring) (1755m) 5/6 hrs walk approximate, Overnight at lodge.",Day 8: Trek from Jinu dada to Nayapul (1050m/) 4/ 5 hrs walk and 1:30 hrs Drive to Pokhara (820m) /Kathmandu,,,"
                        12                    ","
            Annapurna Base Camp Trek - 8 Days        ","
                    135604
                ","
                        5 to 85
                    ","US
                        $727","
      4.8
    (
      (16)
    ",,"
                    Alpine Ramble Treks 
                ",https://www.tourradar.com/115685
"
                    English
                ","Kathmandu,Pokhara,Ghorepani,Annapurna,,,,,",Day1: Kathmandu to Pokhara   Approx. 7 hours' drive or flight (optional),,,,,,"Day 02: Drive from Pokhara to Ulleri for Approx. 4 hours and trek to Ghorepani (2,640m- Approx. 5-6 hours walk),","Day 03: Ghorepani to Tadapani: Guest house (2,830m: Approx. 4-5 hours)",Day 04: Tadapani to Ghandruk village trek and drive back to Pokhara (3 hours walk then 3 hours' Drive to Pokhara),Day 05: Pokhara to Kathmandu via Drive or flight (optional),,,,,,"
                        12                    ","
            Annapurna View Trek        ","
                    111930
                ","
                        8 to 75
                    ","US
                        $550","
      4.7
    (
      (15)
    ",,"
                    Mount Adventure Holidays Pvt.Ltd
                ",https://www.tourradar.com/115685
,"Kathmandu,Pokhara,Ghorepani,Annapurna,,,,,",Day 01: Arrival in Kathmandu and Transfer to the hotel ,Day 10: Fly or drive back to Kathmandu,Day 11: Onward Departure from Kathmandu,,,,Day 02: Sightseeing / Cultural Day in Kathmandu Valley,Day 03: Kathmandu to Pokhara,Day 04: Pokhara to Tikhe Dhunga(1491m),Day 05: Tikhe Dungha Trek to Ghorepani (2850m),Day 06: Ghorepani to Poon Hill to Tadapani (2520m),Day 07: Tadapani to Ghandruk (1950m),Day 08: Ghandruk to Tolka (1790m),Day 09: Tolka to Phedi and Pokhara,"
            11 days                        
  ",,"
            Ghorepani Ghandruk Trek (Poon hill trek, Annapurna sunrise view trek)        ",,,"US
                        $769",(,,,https://www.tourradar.com/115685
,"Kathmandu,Lukla,Phakding,Namche Bazar,Dingboche,,,,",Day 1: Kathmandu,Day 10: Gorak Shep/Pheriche,Day 11: Pheriche/Kyangjuma,Day 12: Kyangjuma/Monjo,Day 13: Monjo/Lukla,Day 14: Lukla/Kathmandu,Day 2: Kathmandu/Phakding,Day 3: Phakdingamche Bazaar,Day 4: Namche Bazaar,Day 5: Namche Bazaarhyāngboche,Day 6: Thyāngboche/Dingboche,Day 7: Dingboche,Day 8: Dingboche/Lobuche,Day 9: Everest Base Camp,,,"
            Everest Base Camp Trek        ",,,"US
                        $1,439","
      4.2
    (
      (15)
    ",,,https://www.tourradar.com/115685
